Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-March-2021,410.95,411.35,398.00,399.80,402.837222007053019956,245285,5012,98809928.00,71951,29.33,13.35,-11.15
24-March-2021,412.00,415.45,409.20,410.95,411.845994818958897636,237018,8818,97614914.00,87864,37.07,6.25,-1.05
23-March-2021,419.00,423.30,412.85,415.65,417.120148231528696972,294944,3920,123027085.00,50972,17.28,10.45,-3.35
22-March-2021,410.60,416.20,410.20,414.15,413.719799536872707604,354978,7386,146861427.00,105586,29.74,6.00,3.55
19-March-2021,409.90,413.45,399.45,410.55,409.004067491006796828,1131410,6521,462751292.00,75959,6.71,14.00,0.65
18-March-2021,424.80,424.80,404.40,410.10,414.656190586468749182,267721,4756,111012170.00,74821,27.95,20.40,-14.70
17-March-2021,429.00,435.50,417.80,419.55,428.801961213783792517,278501,4496,119421775.00,47651,17.11,17.70,-9.45
16-March-2021,426.55,434.90,425.80,429.25,431.026346173197820065,755252,13382,325533510.00,339292,44.92,9.10,2.70
15-March-2021,425.00,428.65,418.00,426.40,424.750253664036076662,212880,3242,90420834.00,48961,23.00,10.65,1.40
12-March-2021,430.25,431.80,422.25,425.00,427.560823677217988171,228439,3873,97671567.00,33808,14.80,9.55,-5.25
10-March-2021,426.45,430.50,423.00,426.65,427.115064702337530527,504464,6958,215464174.00,70054,13.89,7.50,0.20
9-March-2021,418.60,422.55,410.15,418.80,416.607150559985496328,319919,5933,133280543.00,76223,23.83,12.40,0.20
8-March-2021,425.80,425.80,415.50,416.85,418.753157498444985213,458195,7655,191870603.00,119947,26.18,10.30,-8.95
5-March-2021,440.00,440.00,417.00,420.40,425.864346592216195922,2173436,39865,925588902.00,565505,26.02,23.00,-19.60
4-March-2021,430.10,444.25,423.85,438.85,435.851817506970923588,1243379,11806,541928997.00,717823,57.73,20.40,8.75
3-March-2021,433.70,436.35,428.50,435.45,432.423798253071098449,937531,13936,405410716.00,256835,27.39,7.85,1.75
2-March-2021,419.00,433.00,418.35,430.70,427.469158456498483227,659954,6918,282109981.00,98097,14.86,14.65,11.70
1-March-2021,411.00,418.70,409.60,414.35,414.940353409771909319,302029,4597,125324020.00,48716,16.13,9.10,3.35
26-February-2021,416.00,419.75,408.00,410.20,413.377491824351775997,600564,18315,248259640.00,184807,30.77,11.75,-5.80
25-February-2021,428.00,429.00,420.50,421.40,423.520099569625343380,810689,4658,343343086.00,528093,65.14,8.50,-6.60
24-February-2021,418.70,457.05,411.00,420.20,422.798479196136058809,1364410,14912,576870473.00,790646,57.95,46.05,1.50
